Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Note: %N : Simulation Start.
Time: 0 ps  Iteration: 0  Process: /DSPProc_TB/stim  File: C:/top/f7/vicilab/sample_projects/applications/DSPProc2_21B/vhdl/HDLmodel/testbench/DSPProc_TB.vhd
blk_mem_gen_v8_4_3 collision detected at time: 570000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 6, B  read address: 6
blk_mem_gen_v8_4_3 collision detected at time: 590000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 5, B  read address: 5
blk_mem_gen_v8_4_3 collision detected at time: 610000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 4, B  read address: 4
blk_mem_gen_v8_4_3 collision detected at time: 630000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 3, B  read address: 3
blk_mem_gen_v8_4_3 collision detected at time: 650000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 2, B  read address: 2
blk_mem_gen_v8_4_3 collision detected at time: 670000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_3 collision detected at time: 690000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 710000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 730000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 750000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 770000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 790000, Instance: DSPProc_TB.uut.memory_top_i.sourceMem_32x256BRAM_i.u1.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
